workplace_measure,shifts_per_day,staff_per_shift,strength,staff_change,prop_infected
Gloves,1.0,5.0,2,1,0.2
Gloves,1.0,5.0,2,3,0.2
Gloves,1.0,5.0,2,7,0.2
Gloves,1.0,5.0,2,14,0.3
Gloves,1.0,5.0,2,21,0.3
Gloves,1.0,5.0,4,1,0.05
Gloves,1.0,5.0,4,3,0.05
Gloves,1.0,5.0,4,7,0.1
Gloves,1.0,5.0,4,14,0.15
Gloves,1.0,5.0,4,21,0.15
Gloves,1.0,5.0,6,1,0.03
Gloves,1.0,5.0,6,3,0.03
Gloves,1.0,5.0,6,7,0.07
Gloves,1.0,5.0,6,14,0.1
Gloves,1.0,5.0,6,21,0.1
Gloves,1.0,10.0,2,1,0.15
Gloves,1.0,10.0,2,3,0.25
Gloves,1.0,10.0,2,7,0.2
Gloves,1.0,10.0,2,14,0.4
Gloves,1.0,10.0,2,21,0.4
Gloves,1.0,10.0,4,1,0.05
Gloves,1.0,10.0,4,3,0.06
Gloves,1.0,10.0,4,7,0.07
Gloves,1.0,10.0,4,14,0.2
Gloves,1.0,10.0,4,21,0.2
Gloves,1.0,10.0,6,1,0.02
Gloves,1.0,10.0,6,3,0.03
Gloves,1.0,10.0,6,7,0.05
Gloves,1.0,10.0,6,14,0.13
Gloves,1.0,10.0,6,21,0.15
Gloves,1.0,20.0,2,1,0.29
Gloves,1.0,20.0,2,3,0.35
Gloves,1.0,20.0,2,7,0.28
Gloves,1.0,20.0,2,14,0.5
Gloves,1.0,20.0,2,21,0.5
Gloves,1.0,20.0,4,1,0.06
Gloves,1.0,20.0,4,3,0.09
Gloves,1.0,20.0,4,7,0.13
Gloves,1.0,20.0,4,14,0.25
Gloves,1.0,20.0,4,21,0.25
Gloves,1.0,20.0,6,1,0.03
Gloves,1.0,20.0,6,3,0.05
Gloves,1.0,20.0,6,7,0.1
Gloves,1.0,20.0,6,14,0.17
Gloves,1.0,20.0,6,21,0.17
Gloves,1.0,30.0,2,1,0.37
Gloves,1.0,30.0,2,3,0.43
Gloves,1.0,30.0,2,7,0.38
Gloves,1.0,30.0,2,14,0.5
Gloves,1.0,30.0,2,21,0.5
Gloves,1.0,30.0,4,1,0.08
Gloves,1.0,30.0,4,3,0.17
Gloves,1.0,30.0,4,7,0.18
Gloves,1.0,30.0,4,14,0.25
Gloves,1.0,30.0,4,21,0.25
Gloves,1.0,30.0,6,1,0.03
Gloves,1.0,30.0,6,3,0.09
Gloves,1.0,30.0,6,7,0.12
Gloves,1.0,30.0,6,14,0.17
Gloves,1.0,30.0,6,21,0.17
Gloves,2.0,5.0,2,1,
Gloves,2.0,5.0,2,3,
Gloves,2.0,5.0,2,7,
Gloves,2.0,5.0,2,14,
Gloves,2.0,5.0,2,21,
Gloves,2.0,5.0,4,1,0.05
Gloves,2.0,5.0,4,3,0.1
Gloves,2.0,5.0,4,7,0.1
Gloves,2.0,5.0,4,14,0.15
Gloves,2.0,5.0,4,21,0.15
Gloves,2.0,5.0,6,1,0.03
Gloves,2.0,5.0,6,3,0.05
Gloves,2.0,5.0,6,7,0.07
Gloves,2.0,5.0,6,14,0.12
Gloves,2.0,5.0,6,21,0.1
Gloves,2.0,10.0,2,1,
Gloves,2.0,10.0,2,3,
Gloves,2.0,10.0,2,7,
Gloves,2.0,10.0,2,14,
Gloves,2.0,10.0,2,21,
Gloves,2.0,10.0,4,1,0.05
Gloves,2.0,10.0,4,3,0.07
Gloves,2.0,10.0,4,7,0.1
Gloves,2.0,10.0,4,14,0.2
Gloves,2.0,10.0,4,21,0.2
Gloves,2.0,10.0,6,1,0.03
Gloves,2.0,10.0,6,3,0.05
Gloves,2.0,10.0,6,7,0.07
Gloves,2.0,10.0,6,14,0.13
Gloves,2.0,10.0,6,21,0.13
Gloves,2.0,20.0,2,1,
Gloves,2.0,20.0,2,3,
Gloves,2.0,20.0,2,7,
Gloves,2.0,20.0,2,14,
Gloves,2.0,20.0,2,21,
Gloves,2.0,20.0,4,1,0.07
Gloves,2.0,20.0,4,3,0.12
Gloves,2.0,20.0,4,7,0.12
Gloves,2.0,20.0,4,14,0.25
Gloves,2.0,20.0,4,21,0.25
Gloves,2.0,20.0,6,1,0.03
Gloves,2.0,20.0,6,3,0.05
Gloves,2.0,20.0,6,7,0.09
Gloves,2.0,20.0,6,14,0.17
Gloves,2.0,20.0,6,21,0.17
Gloves,2.0,30.0,2,1,
Gloves,2.0,30.0,2,3,
Gloves,2.0,30.0,2,7,
Gloves,2.0,30.0,2,14,
Gloves,2.0,30.0,2,21,
Gloves,2.0,30.0,4,1,0.11
Gloves,2.0,30.0,4,3,0.2
Gloves,2.0,30.0,4,7,0.18
Gloves,2.0,30.0,4,14,0.25
Gloves,2.0,30.0,4,21,0.25
Gloves,2.0,30.0,6,1,0.03
Gloves,2.0,30.0,6,3,0.09
Gloves,2.0,30.0,6,7,0.13
Gloves,2.0,30.0,6,14,0.17
Gloves,2.0,30.0,6,21,0.17
Gloves,3.0,5.0,2,1,
Gloves,3.0,5.0,2,3,
Gloves,3.0,5.0,2,7,
Gloves,3.0,5.0,2,14,
Gloves,3.0,5.0,2,21,
Gloves,3.0,5.0,4,1,0.05
Gloves,3.0,5.0,4,3,0.1
Gloves,3.0,5.0,4,7,0.1
Gloves,3.0,5.0,4,14,0.15
Gloves,3.0,5.0,4,21,0.15
Gloves,3.0,5.0,6,1,0.03
Gloves,3.0,5.0,6,3,0.03
Gloves,3.0,5.0,6,7,0.07
Gloves,3.0,5.0,6,14,0.1
Gloves,3.0,5.0,6,21,0.12
Gloves,3.0,10.0,2,1,
Gloves,3.0,10.0,2,3,
Gloves,3.0,10.0,2,7,
Gloves,3.0,10.0,2,14,
Gloves,3.0,10.0,2,21,
Gloves,3.0,10.0,4,1,0.05
Gloves,3.0,10.0,4,3,0.07
Gloves,3.0,10.0,4,7,0.1
Gloves,3.0,10.0,4,14,0.23
Gloves,3.0,10.0,4,21,0.2
Gloves,3.0,10.0,6,1,0.03
Gloves,3.0,10.0,6,3,0.05
Gloves,3.0,10.0,6,7,0.05
Gloves,3.0,10.0,6,14,0.13
Gloves,3.0,10.0,6,21,0.13
Gloves,3.0,20.0,2,1,
Gloves,3.0,20.0,2,3,
Gloves,3.0,20.0,2,7,
Gloves,3.0,20.0,2,14,
Gloves,3.0,20.0,2,21,
Gloves,3.0,20.0,4,1,0.12
Gloves,3.0,20.0,4,3,0.13
Gloves,3.0,20.0,4,7,0.11
Gloves,3.0,20.0,4,14,0.25
Gloves,3.0,20.0,4,21,0.25
Gloves,3.0,20.0,6,1,0.03
Gloves,3.0,20.0,6,3,0.05
Gloves,3.0,20.0,6,7,0.08
Gloves,3.0,20.0,6,14,0.17
Gloves,3.0,20.0,6,21,0.17
Gloves,3.0,30.0,2,1,
Gloves,3.0,30.0,2,3,
Gloves,3.0,30.0,2,7,
Gloves,3.0,30.0,2,14,
Gloves,3.0,30.0,2,21,
Gloves,3.0,30.0,4,1,0.12
Gloves,3.0,30.0,4,3,0.22
Gloves,3.0,30.0,4,7,0.18
Gloves,3.0,30.0,4,14,0.25
Gloves,3.0,30.0,4,21,0.25
Gloves,3.0,30.0,6,1,0.06
Gloves,3.0,30.0,6,3,0.11
Gloves,3.0,30.0,6,7,0.13
