,strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
0,2,1,5,1,1,0.10
1,2,1,5,2,1,
2,2,1,5,3,1,
3,2,1,10,1,1,0.05
4,2,1,10,2,1,
5,2,1,10,3,1,
6,2,1,20,1,1,0.03
7,2,1,20,2,1,
8,2,1,20,3,1,
9,2,1,30,1,1,0.03
10,2,1,30,2,1,
11,2,1,30,3,1,
12,2,3,5,1,1,0.10
13,2,3,5,2,1,
14,2,3,5,3,1,
15,2,3,10,1,1,0.05
16,2,3,10,2,1,
17,2,3,10,3,1,
18,2,3,20,1,1,0.03
19,2,3,20,2,1,
20,2,3,20,3,1,
21,2,3,30,1,1,0.03
22,2,3,30,2,1,
23,2,3,30,3,1,
24,2,7,5,1,1,0.10
25,2,7,5,2,1,
26,2,7,5,3,1,
27,2,7,10,1,1,0.05
28,2,7,10,2,1,
29,2,7,10,3,1,
30,2,7,20,1,1,0.03
31,2,7,20,2,1,
32,2,7,20,3,1,
33,2,7,30,1,1,0.03
34,2,7,30,2,1,
35,2,7,30,3,1,
36,2,14,5,1,1,0.10
37,2,14,5,2,1,
38,2,14,5,3,1,
39,2,14,10,1,1,0.05
40,2,14,10,2,1,
41,2,14,10,3,1,
42,2,14,20,1,1,0.03
43,2,14,20,2,1,
44,2,14,20,3,1,
45,2,14,30,1,1,0.03
46,2,14,30,2,1,
47,2,14,30,3,1,
48,2,21,5,1,1,0.10
49,2,21,5,2,1,
50,2,21,5,3,1,
51,2,21,10,1,1,0.05
52,2,21,10,2,1,
53,2,21,10,3,1,
54,2,21,20,1,1,0.03
55,2,21,20,2,1,
56,2,21,20,3,1,
57,2,21,30,1,1,0.03
58,2,21,30,2,1,
59,2,21,30,3,1,
60,4,1,5,1,1,0.05
61,4,1,5,2,1,0.05
62,4,1,5,3,1,0.05
63,4,1,10,1,1,0.03
64,4,1,10,2,1,0.03
65,4,1,10,3,1,0.03
66,4,1,20,1,1,0.01
67,4,1,20,2,1,0.01
68,4,1,20,3,1,0.01
69,4,1,30,1,1,0.02
70,4,1,30,2,1,0.02
71,4,1,30,3,1,0.01
72,4,3,5,1,1,0.05
73,4,3,5,2,1,0.05
74,4,3,5,3,1,0.05
75,4,3,10,1,1,0.03
76,4,3,10,2,1,0.03
77,4,3,10,3,1,0.03
78,4,3,20,1,1,0.01
79,4,3,20,2,1,0.01
80,4,3,20,3,1,0.01
81,4,3,30,1,1,0.02
82,4,3,30,2,1,0.02
83,4,3,30,3,1,0.02
84,4,7,5,1,1,0.05
85,4,7,5,2,1,0.05
86,4,7,5,3,1,0.05
87,4,7,10,1,1,0.03
88,4,7,10,2,1,0.03
89,4,7,10,3,1,0.03
90,4,7,20,1,1,0.01
91,4,7,20,2,1,0.01
92,4,7,20,3,1,0.01
93,4,7,30,1,1,0.02
94,4,7,30,2,1,0.02
95,4,7,30,3,1,0.02
96,4,14,5,1,1,0.05
97,4,14,5,2,1,0.05
98,4,14,5,3,1,0.05
99,4,14,10,1,1,0.03
100,4,14,10,2,1,0.03
101,4,14,10,3,1,0.03
102,4,14,20,1,1,0.01
103,4,14,20,2,1,0.01
104,4,14,20,3,1,0.01
105,4,14,30,1,1,0.02
106,4,14,30,2,1,0.01
107,4,14,30,3,1,0.02
108,4,21,5,1,1,0.05
109,4,21,5,2,1,0.05
110,4,21,5,3,1,0.05
111,4,21,10,1,1,0.03
112,4,21,10,2,1,0.03
