strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
2,1,5,1,1,0.10
2,1,10,1,1,0.05
2,1,20,1,1,0.05
2,1,30,1,1,0.05
2,3,5,1,1,0.10
2,3,10,1,1,0.05
2,3,20,1,1,0.05
2,3,30,1,1,0.05
2,7,5,1,1,0.10
2,7,10,1,1,0.05
2,7,20,1,1,0.05
2,7,30,1,1,0.05
2,14,5,1,1,0.10
2,14,10,1,1,0.05
2,14,20,1,1,0.05
2,14,30,1,1,0.05
2,21,5,1,1,0.10
2,21,10,1,1,0.05
2,21,20,1,1,0.05
2,21,30,1,1,0.05
4,1,5,1,1,0.05
4,1,10,1,1,0.03
4,1,20,1,1,0.03
4,1,30,1,1,0.03
4,3,5,1,1,0.05
4,3,10,1,1,0.03
4,3,20,1,1,0.03
4,3,30,1,1,0.03
4,7,5,1,1,0.05
4,7,10,1,1,0.03
4,7,20,1,1,0.03
4,7,30,1,1,0.03
4,14,5,1,1,0.05
4,14,10,1,1,0.03
4,14,20,1,1,0.03
4,14,30,1,1,0.03
4,21,5,1,1,0.05
4,21,10,1,1,0.03
4,21,20,1,1,0.03
4,21,30,1,1,0.03
6,1,5,1,1,0.03
6,1,10,1,1,0.02
6,1,20,1,1,0.02
6,1,30,1,1,0.02
6,3,5,1,1,0.03
6,3,10,1,1,0.02
6,3,20,1,1,0.02
6,3,30,1,1,0.02
6,7,5,1,1,0.03
6,7,10,1,1,0.02
6,7,20,1,1,0.02
6,7,30,1,1,0.02
6,14,5,1,1,0.03
6,14,10,1,1,0.02
6,14,20,1,1,0.02
6,14,30,1,1,0.02
6,21,5,1,1,0.03
6,21,10,1,1,0.02
6,21,20,1,1,0.02
6,21,30,1,1,0.02
2,1,5,1,2,0.10
2,1,10,1,2,0.10
2,1,20,1,2,0.07
2,1,30,1,2,0.08
2,3,5,1,2,0.10
2,3,10,1,2,0.10
2,3,20,1,2,0.10
2,3,30,1,2,0.12
