strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
2,1,5,1,1,0.10
2,1,5,2,1,
2,1,5,3,1,
2,1,10,1,1,0.05
2,1,10,2,1,
2,1,10,3,1,
2,1,20,1,1,0.03
2,1,20,2,1,
2,1,20,3,1,
2,1,30,1,1,0.02
2,1,30,2,1,
2,1,30,3,1,
2,3,5,1,1,0.10
2,3,5,2,1,
2,3,5,3,1,
2,3,10,1,1,0.05
2,3,10,2,1,
2,3,10,3,1,
2,3,20,1,1,0.03
2,3,20,2,1,
2,3,20,3,1,
2,3,30,1,1,0.02
2,3,30,2,1,
2,3,30,3,1,
2,7,5,1,1,0.10
2,7,5,2,1,
2,7,5,3,1,
2,7,10,1,1,0.05
2,7,10,2,1,
2,7,10,3,1,
2,7,20,1,1,0.03
2,7,20,2,1,
2,7,20,3,1,
2,7,30,1,1,0.02
2,7,30,2,1,
2,7,30,3,1,
2,14,5,1,1,0.10
2,14,5,2,1,
2,14,5,3,1,
2,14,10,1,1,0.05
2,14,10,2,1,
2,14,10,3,1,
2,14,20,1,1,0.03
2,14,20,2,1,
2,14,20,3,1,
2,14,30,1,1,0.02
2,14,30,2,1,
2,14,30,3,1,
2,21,5,1,1,0.10
2,21,5,2,1,
2,21,5,3,1,
2,21,10,1,1,0.05
2,21,10,2,1,
2,21,10,3,1,
2,21,20,1,1,0.03
2,21,20,2,1,
2,21,20,3,1,
2,21,30,1,1,0.02
2,21,30,2,1,
2,21,30,3,1,
4,1,5,1,1,0.05
4,1,5,2,1,0.05
4,1,5,3,1,0.05
4,1,10,1,1,0.03
4,1,10,2,1,0.03
4,1,10,3,1,0.03
4,1,20,1,1,0.01
4,1,20,2,1,0.01
4,1,20,3,1,0.01
4,1,30,1,1,0.01
4,1,30,2,1,0.01
4,1,30,3,1,0.01
4,3,5,1,1,0.05
4,3,5,2,1,0.05
4,3,5,3,1,0.05
4,3,10,1,1,0.03
4,3,10,2,1,0.03
4,3,10,3,1,0.03
4,3,20,1,1,0.01
4,3,20,2,1,0.01
4,3,20,3,1,0.01
4,3,30,1,1,0.01
4,3,30,2,1,0.01
4,3,30,3,1,0.01
4,7,5,1,1,0.05
4,7,5,2,1,0.05
4,7,5,3,1,0.05
4,7,10,1,1,0.03
4,7,10,2,1,0.03
4,7,10,3,1,0.03
4,7,20,1,1,0.01
4,7,20,2,1,0.01
4,7,20,3,1,0.01
4,7,30,1,1,0.01
4,7,30,2,1,0.01
4,7,30,3,1,0.01
4,14,5,1,1,0.05
4,14,5,2,1,0.05
4,14,5,3,1,0.05
4,14,10,1,1,0.03
4,14,10,2,1,0.03
4,14,10,3,1,0.03
4,14,20,1,1,0.01
4,14,20,2,1,0.01
4,14,20,3,1,0.01
4,14,30,1,1,0.01
4,14,30,2,1,0.01
4,14,30,3,1,0.01
4,21,5,1,1,0.05
4,21,5,2,1,0.05
4,21,5,3,1,0.05
4,21,10,1,1,0.03
4,21,10,2,1,0.03
4,21,10,3,1,0.03
4,21,20,1,1,0.01
4,21,20,2,1,0.01
4,21,20,3,1,0.01
4,21,30,1,1,0.01
4,21,30,2,1,0.01
4,21,30,3,1,0.01
6,1,5,1,1,0.03
6,1,5,2,1,0.03
6,1,5,3,1,0.03
6,1,10,1,1,0.02
6,1,10,2,1,0.02
6,1,10,3,1,0.02
6,1,20,1,1,0.01
6,1,20,2,1,0.01
6,1,20,3,1,0.01
6,1,30,1,1,0.01
6,1,30,2,1,0.01
6,1,30,3,1,0.01
6,3,5,1,1,0.03
6,3,5,2,1,0.03
6,3,5,3,1,0.03
6,3,10,1,1,0.02
6,3,10,2,1,0.02
6,3,10,3,1,0.02
6,3,20,1,1,0.01
6,3,20,2,1,0.01
6,3,20,3,1,0.01
6,3,30,1,1,0.01
6,3,30,2,1,0.01
6,3,30,3,1,0.01
6,7,5,1,1,0.03
6,7,5,2,1,0.03
6,7,5,3,1,0.03
6,7,10,1,1,0.02
6,7,10,2,1,0.02
6,7,10,3,1,0.02
6,7,20,1,1,0.01
6,7,20,2,1,0.01
6,7,20,3,1,0.01
6,7,30,1,1,0.01
6,7,30,2,1,0.01
6,7,30,3,1,0.01
6,14,5,1,1,0.03
6,14,5,2,1,0.03
6,14,5,3,1,0.03
6,14,10,1,1,0.02
6,14,10,2,1,0.02
6,14,10,3,1,0.02
6,14,20,1,1,0.01
6,14,20,2,1,0.01
6,14,20,3,1,0.01
6,14,30,1,1,0.01
6,14,30,2,1,0.01
6,14,30,3,1,0.01
6,21,5,1,1,0.03
6,21,5,2,1,0.03
6,21,5,3,1,0.03
6,21,10,1,1,0.02
6,21,10,2,1,0.02
6,21,10,3,1,0.02
6,21,20,1,1,0.01
6,21,20,2,1,0.01
6,21,20,3,1,0.01
6,21,30,1,1,0.01
6,21,30,2,1,0.01
6,21,30,3,1,0.01
2,1,5,1,2,0.10
2,1,5,2,2,
2,1,5,3,2,
2,1,10,1,2,0.05
2,1,10,2,2,
2,1,10,3,2,
2,1,20,1,2,0.03
2,1,20,2,2,
2,1,20,3,2,
2,1,30,1,2,0.02
2,1,30,2,2,
2,1,30,3,2,
2,3,5,1,2,0.10
2,3,5,2,2,
2,3,5,3,2,
2,3,10,1,2,0.05
2,3,10,2,2,
2,3,10,3,2,
2,3,20,1,2,0.05
2,3,20,2,2,
2,3,20,3,2,
2,3,30,1,2,0.03
2,3,30,2,2,
2,3,30,3,2,
2,7,5,1,2,0.10
2,7,5,2,2,
2,7,5,3,2,
2,7,10,1,2,0.05
2,7,10,2,2,
2,7,10,3,2,
2,7,20,1,2,0.05
2,7,20,2,2,
2,7,20,3,2,
2,7,30,1,2,0.03
2,7,30,2,2,
2,7,30,3,2,
2,14,5,1,2,0.10
2,14,5,2,2,
2,14,5,3,2,
2,14,10,1,2,0.05
2,14,10,2,2,
2,14,10,3,2,
2,14,20,1,2,0.05
2,14,20,2,2,
2,14,20,3,2,
2,14,30,1,2,0.03
2,14,30,2,2,
2,14,30,3,2,
2,21,5,1,2,0.10
2,21,5,2,2,
2,21,5,3,2,
2,21,10,1,2,0.05
2,21,10,2,2,
2,21,10,3,2,
2,21,20,1,2,0.05
2,21,20,2,2,
2,21,20,3,2,
2,21,30,1,2,0.03
2,21,30,2,2,
2,21,30,3,2,
4,1,5,1,2,0.05
4,1,5,2,2,0.05
4,1,5,3,2,0.05
4,1,10,1,2,0.03
4,1,10,2,2,0.03
4,1,10,3,2,0.03
4,1,20,1,2,0.01
4,1,20,2,2,0.01
4,1,20,3,2,0.01
4,1,30,1,2,0.01
4,1,30,2,2,0.01
4,1,30,3,2,0.01
4,3,5,1,2,0.05
4,3,5,2,2,0.05
4,3,5,3,2,0.05
4,3,10,1,2,0.03
4,3,10,2,2,0.03
4,3,10,3,2,0.03
4,3,20,1,2,0.03
4,3,20,2,2,0.03
4,3,20,3,2,0.03
4,3,30,1,2,0.02
4,3,30,2,2,0.02
4,3,30,3,2,0.02
4,7,5,1,2,0.05
4,7,5,2,2,0.05
4,7,5,3,2,0.05
4,7,10,1,2,0.03
4,7,10,2,2,0.03
4,7,10,3,2,0.03
4,7,20,1,2,0.03
4,7,20,2,2,0.03
4,7,20,3,2,0.03
4,7,30,1,2,0.02
4,7,30,2,2,0.02
4,7,30,3,2,0.02
4,14,5,1,2,0.05
4,14,5,2,2,0.05
4,14,5,3,2,0.05
4,14,10,1,2,0.03
4,14,10,2,2,0.03
4,14,10,3,2,0.03
4,14,20,1,2,0.03
4,14,20,2,2,0.03
4,14,20,3,2,0.03
4,14,30,1,2,0.02
4,14,30,2,2,0.02
4,14,30,3,2,0.02
4,21,5,1,2,0.05
4,21,5,2,2,0.05
4,21,5,3,2,0.05
4,21,10,1,2,0.03
4,21,10,2,2,0.03
4,21,10,3,2,0.03
4,21,20,1,2,0.03
4,21,20,2,2,0.03
4,21,20,3,2,0.03
4,21,30,1,2,0.02
4,21,30,2,2,0.02
4,21,30,3,2,0.02
6,1,5,1,2,0.03
6,1,5,2,2,0.03
6,1,5,3,2,0.03
6,1,10,1,2,0.02
6,1,10,2,2,0.02
6,1,10,3,2,0.02
6,1,20,1,2,0.01
6,1,20,2,2,0.01
6,1,20,3,2,0.01
6,1,30,1,2,0.01
6,1,30,2,2,0.01
6,1,30,3,2,0.01
6,3,5,1,2,0.03
6,3,5,2,2,0.03
6,3,5,3,2,0.03
6,3,10,1,2,0.02
6,3,10,2,2,0.02
6,3,10,3,2,0.02
6,3,20,1,2,0.02
6,3,20,2,2,0.02
6,3,20,3,2,0.02
6,3,30,1,2,0.01
6,3,30,2,2,0.01
6,3,30,3,2,0.01
6,7,5,1,2,0.03
6,7,5,2,2,0.03
6,7,5,3,2,0.03
6,7,10,1,2,0.02
6,7,10,2,2,0.02
6,7,10,3,2,0.02
6,7,20,1,2,0.02
6,7,20,2,2,0.02
6,7,20,3,2,0.02
6,7,30,1,2,0.01
6,7,30,2,2,0.01
6,7,30,3,2,0.01
6,14,5,1,2,0.03
6,14,5,2,2,0.03
6,14,5,3,2,0.03
6,14,10,1,2,0.02
6,14,10,2,2,0.02
6,14,10,3,2,0.02
6,14,20,1,2,0.02
6,14,20,2,2,0.02
6,14,20,3,2,0.02
6,14,30,1,2,0.01
6,14,30,2,2,0.01
6,14,30,3,2,0.01
6,21,5,1,2,0.03
6,21,5,2,2,0.03
6,21,5,3,2,0.03
6,21,10,1,2,0.02
6,21,10,2,2,0.02
6,21,10,3,2,0.02
6,21,20,1,2,0.02
6,21,20,2,2,0.02
6,21,20,3,2,0.02
6,21,30,1,2,0.01
6,21,30,2,2,0.01
6,21,30,3,2,0.01
2,1,5,1,3,0.10
2,1,5,2,3,
2,1,5,3,3,
2,1,10,1,3,0.05
2,1,10,2,3,
2,1,10,3,3,
2,1,20,1,3,0.05
2,1,20,2,3,
2,1,20,3,3,
2,1,30,1,3,0.03
2,1,30,2,3,
2,1,30,3,3,
2,3,5,1,3,0.10
2,3,5,2,3,
2,3,5,3,3,
2,3,10,1,3,0.05
2,3,10,2,3,
2,3,10,3,3,
2,3,20,1,3,0.05
2,3,20,2,3,
2,3,20,3,3,
2,3,30,1,3,0.05
2,3,30,2,3,
2,3,30,3,3,
2,7,5,1,3,0.10
2,7,5,2,3,
2,7,5,3,3,
2,7,10,1,3,0.05
2,7,10,2,3,
2,7,10,3,3,
2,7,20,1,3,0.05
2,7,20,2,3,
2,7,20,3,3,
2,7,30,1,3,0.05
2,7,30,2,3,
2,7,30,3,3,
2,14,5,1,3,0.10
2,14,5,2,3,
2,14,5,3,3,
2,14,10,1,3,0.05
2,14,10,2,3,
2,14,10,3,3,
2,14,20,1,3,0.05
2,14,20,2,3,
2,14,20,3,3,
2,14,30,1,3,0.05
2,14,30,2,3,
2,14,30,3,3,
2,21,5,1,3,0.10
2,21,5,2,3,
2,21,5,3,3,
2,21,10,1,3,0.05
2,21,10,2,3,
2,21,10,3,3,
2,21,20,1,3,0.05
2,21,20,2,3,
2,21,20,3,3,
2,21,30,1,3,0.06
2,21,30,2,3,
2,21,30,3,3,
4,1,5,1,3,0.05
4,1,5,2,3,0.05
4,1,5,3,3,0.05
4,1,10,1,3,0.03
4,1,10,2,3,0.03
4,1,10,3,3,0.03
4,1,20,1,3,0.01
4,1,20,2,3,0.01
4,1,20,3,3,0.01
4,1,30,1,3,0.01
4,1,30,2,3,0.02
4,1,30,3,3,0.02
4,3,5,1,3,0.05
4,3,5,2,3,0.05
4,3,5,3,3,0.05
4,3,10,1,3,0.03
4,3,10,2,3,0.03
4,3,10,3,3,0.03
4,3,20,1,3,0.03
4,3,20,2,3,0.03
4,3,20,3,3,0.03
4,3,30,1,3,0.03
4,3,30,2,3,0.03
4,3,30,3,3,0.03
4,7,5,1,3,0.05
4,7,5,2,3,0.05
4,7,5,3,3,0.05
4,7,10,1,3,0.03
4,7,10,2,3,0.03
4,7,10,3,3,0.03
4,7,20,1,3,0.03
4,7,20,2,3,0.03
4,7,20,3,3,0.03
4,7,30,1,3,0.03
4,7,30,2,3,0.03
4,7,30,3,3,0.03
4,14,5,1,3,0.05
4,14,5,2,3,0.05
4,14,5,3,3,0.05
4,14,10,1,3,0.03
4,14,10,2,3,0.03
4,14,10,3,3,0.03
4,14,20,1,3,0.03
4,14,20,2,3,0.03
4,14,20,3,3,0.03
4,14,30,1,3,0.03
4,14,30,2,3,0.03
4,14,30,3,3,0.03
4,21,5,1,3,0.05
4,21,5,2,3,0.05
4,21,5,3,3,0.05
4,21,10,1,3,0.03
4,21,10,2,3,0.03
4,21,10,3,3,0.03
4,21,20,1,3,0.03
4,21,20,2,3,0.03
4,21,20,3,3,0.03
4,21,30,1,3,0.03
4,21,30,2,3,0.03
4,21,30,3,3,0.03
6,1,5,1,3,0.03
6,1,5,2,3,0.03
6,1,5,3,3,0.03
6,1,10,1,3,0.02
6,1,10,2,3,0.02
6,1,10,3,3,0.02
6,1,20,1,3,0.01
6,1,20,2,3,0.01
6,1,20,3,3,0.01
6,1,30,1,3,0.01
6,1,30,2,3,0.01
6,1,30,3,3,0.01
6,3,5,1,3,0.03
6,3,5,2,3,0.03
6,3,5,3,3,0.03
6,3,10,1,3,0.02
6,3,10,2,3,0.02
6,3,10,3,3,0.02
6,3,20,1,3,0.02
6,3,20,2,3,0.02
6,3,20,3,3,0.02
6,3,30,1,3,0.02
6,3,30,2,3,0.02
6,3,30,3,3,0.02
6,7,5,1,3,0.03
6,7,5,2,3,0.03
6,7,5,3,3,0.03
6,7,10,1,3,0.02
6,7,10,2,3,0.02
6,7,10,3,3,0.02
6,7,20,1,3,0.02
6,7,20,2,3,0.02
6,7,20,3,3,0.02
6,7,30,1,3,0.02
6,7,30,2,3,0.02
6,7,30,3,3,0.02
6,14,5,1,3,0.03
6,14,5,2,3,0.03
6,14,5,3,3,0.03
6,14,10,1,3,0.02
6,14,10,2,3,0.02
6,14,10,3,3,0.02
6,14,20,1,3,0.02
6,14,20,2,3,0.02
6,14,20,3,3,0.02
6,14,30,1,3,0.02
6,14,30,2,3,0.02
6,14,30,3,3,0.02
6,21,5,1,3,0.03
6,21,5,2,3,0.03
6,21,5,3,3,0.03
6,21,10,1,3,0.02
6,21,10,2,3,0.02
6,21,10,3,3,0.02
