strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
2,1,5,1,7,0.2
2,1,5,2,7,
2,1,5,3,7,
2,1,10,1,7,0.2
2,1,10,2,7,
2,1,10,3,7,
2,1,20,1,7,0.3
2,1,20,2,7,
2,1,20,3,7,
2,1,30,1,7,0.4
2,1,30,2,7,
2,1,30,3,7,
2,3,5,1,7,0.2
2,3,5,2,7,
2,3,5,3,7,
2,3,10,1,7,0.25
2,3,10,2,7,
2,3,10,3,7,
2,3,20,1,7,0.3
2,3,20,2,7,
2,3,20,3,7,
2,3,30,1,7,0.4
2,3,30,2,7,
2,3,30,3,7,
2,7,5,1,7,0.4
2,7,5,2,7,
2,7,5,3,7,
2,7,10,1,7,0.4
2,7,10,2,7,
2,7,10,3,7,
2,7,20,1,7,0.5
2,7,20,2,7,
2,7,20,3,7,
2,7,30,1,7,0.5
2,7,30,2,7,
2,7,30,3,7,
2,14,5,1,7,0.3
2,14,5,2,7,
2,14,5,3,7,
2,14,10,1,7,0.4
2,14,10,2,7,
2,14,10,3,7,
2,14,20,1,7,0.5
2,14,20,2,7,
2,14,20,3,7,
2,14,30,1,7,0.5
2,14,30,2,7,
2,14,30,3,7,
2,21,5,1,7,0.3
2,21,5,2,7,
2,21,5,3,7,
2,21,10,1,7,0.4
2,21,10,2,7,
2,21,10,3,7,
2,21,20,1,7,0.5
2,21,20,2,7,
2,21,20,3,7,
2,21,30,1,7,0.5
2,21,30,2,7,
2,21,30,3,7,
4,1,5,1,7,0.05
4,1,5,2,7,0.1
4,1,5,3,7,0.1
4,1,10,1,7,0.07
4,1,10,2,7,0.07
4,1,10,3,7,0.1
4,1,20,1,7,0.07
4,1,20,2,7,0.09
4,1,20,3,7,0.11
4,1,30,1,7,0.1
4,1,30,2,7,0.12
4,1,30,3,7,0.16
4,3,5,1,7,0.1
4,3,5,2,7,0.1
4,3,5,3,7,0.1
4,3,10,1,7,0.1
4,3,10,2,7,0.1
4,3,10,3,7,0.1
4,3,20,1,7,0.12
4,3,20,2,7,0.12
4,3,20,3,7,0.14
4,3,30,1,7,0.17
4,3,30,2,7,0.19
4,3,30,3,7,0.22
4,7,5,1,7,0.15
4,7,5,2,7,0.15
4,7,5,3,7,0.15
4,7,10,1,7,0.2
4,7,10,2,7,0.2
4,7,10,3,7,0.2
4,7,20,1,7,0.25
4,7,20,2,7,0.25
4,7,20,3,7,0.25
4,7,30,1,7,0.25
4,7,30,2,7,0.25
4,7,30,3,7,0.25
4,14,5,1,7,0.15
4,14,5,2,7,0.15
4,14,5,3,7,0.15
4,14,10,1,7,0.2
4,14,10,2,7,0.2
4,14,10,3,7,0.2
4,14,20,1,7,0.25
4,14,20,2,7,0.25
4,14,20,3,7,0.25
4,14,30,1,7,0.25
4,14,30,2,7,0.25
4,14,30,3,7,0.25
4,21,5,1,7,0.15
4,21,5,2,7,0.15
4,21,5,3,7,0.15
4,21,10,1,7,0.2
4,21,10,2,7,0.2
4,21,10,3,7,0.2
4,21,20,1,7,0.25
4,21,20,2,7,0.25
4,21,20,3,7,0.25
4,21,30,1,7,0.25
4,21,30,2,7,0.25
4,21,30,3,7,0.25
6,1,5,1,7,0.03
6,1,5,2,7,0.03
6,1,5,3,7,0.03
6,1,10,1,7,0.03
6,1,10,2,7,0.03
6,1,10,3,7,0.03
6,1,20,1,7,0.03
6,1,20,2,7,0.03
6,1,20,3,7,0.04
6,1,30,1,7,0.04
6,1,30,2,7,0.05
6,1,30,3,7,0.05
6,3,5,1,7,0.07
6,3,5,2,7,0.07
6,3,5,3,7,0.07
6,3,10,1,7,0.07
6,3,10,2,7,0.07
6,3,10,3,7,0.07
6,3,20,1,7,0.07
6,3,20,2,7,0.08
6,3,20,3,7,0.08
6,3,30,1,7,0.1
6,3,30,2,7,0.11
6,3,30,3,7,0.12
6,7,5,1,7,0.1
6,7,5,2,7,0.1
6,7,5,3,7,0.1
6,7,10,1,7,0.13
6,7,10,2,7,0.13
6,7,10,3,7,0.13
6,7,20,1,7,0.17
6,7,20,2,7,0.17
6,7,20,3,7,0.17
6,7,30,1,7,0.17
6,7,30,2,7,0.17
6,7,30,3,7,0.17
6,14,5,1,7,0.1
6,14,5,2,7,0.1
6,14,5,3,7,0.1
6,14,10,1,7,0.13
6,14,10,2,7,0.13
6,14,10,3,7,0.13
6,14,20,1,7,0.17
6,14,20,2,7,0.17
6,14,20,3,7,0.17
6,14,30,1,7,0.17
6,14,30,2,7,0.17
6,14,30,3,7,0.17
6,21,5,1,7,0.12
6,21,5,2,7,0.1
6,21,5,3,7,0.1
6,21,10,1,7,0.13
6,21,10,2,7,0.13
6,21,10,3,7,0.13
6,21,20,1,7,0.17
6,21,20,2,7,0.17
6,21,20,3,7,0.17
6,21,30,1,7,0.17
6,21,30,2,7,0.17
6,21,30,3,7,0.17
2,1,5,1,14,0.3
2,1,5,2,14,
2,1,5,3,14,
2,1,10,1,14,0.4
2,1,10,2,14,
2,1,10,3,14,
2,1,20,1,14,0.5
2,1,20,2,14,
2,1,20,3,14,
2,1,30,1,14,0.5
2,1,30,2,14,
2,1,30,3,14,
2,3,5,1,14,0.4
2,3,5,2,14,
2,3,5,3,14,
2,3,10,1,14,0.45
2,3,10,2,14,
2,3,10,3,14,
2,3,20,1,14,0.5
2,3,20,2,14,
2,3,20,3,14,
2,3,30,1,14,0.5
2,3,30,2,14,
2,3,30,3,14,
2,7,5,1,14,0.4
2,7,5,2,14,
2,7,5,3,14,
2,7,10,1,14,0.4
2,7,10,2,14,
2,7,10,3,14,
2,7,20,1,14,0.5
2,7,20,2,14,
2,7,20,3,14,
2,7,30,1,14,0.5
2,7,30,2,14,
2,7,30,3,14,
2,14,5,1,14,0.5
2,14,5,2,14,
2,14,5,3,14,
2,14,10,1,14,0.5
2,14,10,2,14,
2,14,10,3,14,
2,14,20,1,14,0.5
2,14,20,2,14,
2,14,20,3,14,
2,14,30,1,14,0.5
2,14,30,2,14,
2,14,30,3,14,
2,21,5,1,14,0.5
2,21,5,2,14,
2,21,5,3,14,
2,21,10,1,14,0.5
2,21,10,2,14,
2,21,10,3,14,
2,21,20,1,14,0.5
2,21,20,2,14,
2,21,20,3,14,
2,21,30,1,14,0.5
2,21,30,2,14,
2,21,30,3,14,
4,1,5,1,14,0.1
4,1,5,2,14,0.15
4,1,5,3,14,0.15
4,1,10,1,14,0.12
4,1,10,2,14,0.16
4,1,10,3,14,0.2
4,1,20,1,14,0.27
4,1,20,2,14,0.39
4,1,20,3,14,0.44
4,1,30,1,14,0.46
4,1,30,2,14,0.6
4,1,30,3,14,0.76
4,3,5,1,14,0.15
4,3,5,2,14,0.15
4,3,5,3,14,0.2
4,3,10,1,14,0.17
4,3,10,2,14,0.21
4,3,10,3,14,0.26
4,3,20,1,14,0.41
4,3,20,2,14,0.45
4,3,20,3,14,0.46
4,3,30,1,14,0.59
4,3,30,2,14,0.66
4,3,30,3,14,0.62
4,7,5,1,14,0.15
4,7,5,2,14,0.15
4,7,5,3,14,0.15
4,7,10,1,14,0.2
4,7,10,2,14,0.2
4,7,10,3,14,0.2
4,7,20,1,14,0.25
4,7,20,2,14,0.25
4,7,20,3,14,0.25
4,7,30,1,14,0.25
4,7,30,2,14,0.25
4,7,30,3,14,0.25
4,14,5,1,14,0.25
4,14,5,2,14,0.25
4,14,5,3,14,0.25
4,14,10,1,14,0.25
4,14,10,2,14,0.25
4,14,10,3,14,0.25
4,14,20,1,14,0.25
4,14,20,2,14,0.25
4,14,20,3,14,0.25
4,14,30,1,14,0.25
4,14,30,2,14,0.25
4,14,30,3,14,0.25
4,21,5,1,14,0.25
4,21,5,2,14,0.25
4,21,5,3,14,0.25
4,21,10,1,14,0.25
4,21,10,2,14,0.25
4,21,10,3,14,0.25
4,21,20,1,14,0.25
4,21,20,2,14,0.25
4,21,20,3,14,0.25
4,21,30,1,14,0.25
4,21,30,2,14,0.25
4,21,30,3,14,0.25
6,1,5,1,14,0.07
6,1,5,2,14,0.07
6,1,5,3,14,0.07
6,1,10,1,14,0.05
6,1,10,2,14,0.07
6,1,10,3,14,0.07
6,1,20,1,14,0.09
6,1,20,2,14,0.12
6,1,20,3,14,0.16
6,1,30,1,14,0.14
6,1,30,2,14,0.24
6,1,30,3,14,0.29
6,3,5,1,14,0.1
6,3,5,2,14,0.1
6,3,5,3,14,0.1
6,3,10,1,14,0.11
6,3,10,2,14,0.1
6,3,10,3,14,0.1
6,3,20,1,14,0.23
6,3,20,2,14,0.25
6,3,20,3,14,0.28
6,3,30,1,14,0.39
6,3,30,2,14,0.42
6,3,30,3,14,0.48
6,7,5,1,14,0.1
6,7,5,2,14,0.1
6,7,5,3,14,0.1
6,7,10,1,14,0.13
6,7,10,2,14,0.13
6,7,10,3,14,0.13
6,7,20,1,14,0.17
6,7,20,2,14,0.17
6,7,20,3,14,0.17
6,7,30,1,14,0.17
6,7,30,2,14,0.17
6,7,30,3,14,0.17
6,14,5,1,14,0.17
6,14,5,2,14,0.17
6,14,5,3,14,0.17
6,14,10,1,14,0.17
6,14,10,2,14,0.17
6,14,10,3,14,0.17
6,14,20,1,14,0.17
6,14,20,2,14,0.17
6,14,20,3,14,0.17
6,14,30,1,14,0.17
6,14,30,2,14,0.17
6,14,30,3,14,0.17
6,21,5,1,14,0.17
6,21,5,2,14,0.17
6,21,5,3,14,0.17
6,21,10,1,14,0.17
6,21,10,2,14,0.17
6,21,10,3,14,0.17
6,21,20,1,14,0.17
6,21,20,2,14,0.17
6,21,20,3,14,0.17
6,21,30,1,14,0.17
6,21,30,2,14,0.17
6,21,30,3,14,0.17
2,1,5,1,21,0.45
2,1,5,2,21,
2,1,5,3,21,
2,1,10,1,21,0.5
2,1,10,2,21,
2,1,10,3,21,
2,1,20,1,21,0.5
2,1,20,2,21,
2,1,20,3,21,
2,1,30,1,21,0.5
2,1,30,2,21,
2,1,30,3,21,
2,3,5,1,21,0.5
2,3,5,2,21,
2,3,5,3,21,
2,3,10,1,21,0.5
2,3,10,2,21,
2,3,10,3,21,
2,3,20,1,21,0.5
2,3,20,2,21,
2,3,20,3,21,
2,3,30,1,21,0.5
2,3,30,2,21,
2,3,30,3,21,
2,7,5,1,21,0.5
2,7,5,2,21,
2,7,5,3,21,
2,7,10,1,21,0.5
2,7,10,2,21,
2,7,10,3,21,
2,7,20,1,21,0.5
2,7,20,2,21,
2,7,20,3,21,
2,7,30,1,21,0.5
2,7,30,2,21,
2,7,30,3,21,
2,14,5,1,21,0.5
2,14,5,2,21,
2,14,5,3,21,
2,14,10,1,21,0.5
2,14,10,2,21,
2,14,10,3,21,
2,14,20,1,21,0.5
2,14,20,2,21,
2,14,20,3,21,
2,14,30,1,21,0.5
2,14,30,2,21,
2,14,30,3,21,
2,21,5,1,21,0.5
2,21,5,2,21,
2,21,5,3,21,
2,21,10,1,21,0.5
2,21,10,2,21,
2,21,10,3,21,
2,21,20,1,21,0.5
2,21,20,2,21,
2,21,20,3,21,
2,21,30,1,21,0.5
2,21,30,2,21,
2,21,30,3,21,
4,1,5,1,21,0.17
4,1,5,2,21,0.2
4,1,5,3,21,0.23
4,1,10,1,21,0.25
4,1,10,2,21,0.34
4,1,10,3,21,0.47
4,1,20,1,21,0.64
4,1,20,2,21,0.81
4,1,20,3,21,0.89
4,1,30,1,21,0.88
4,1,30,2,21,0.96
4,1,30,3,21,0.99
4,3,5,1,21,0.25
4,3,5,2,21,0.25
4,3,5,3,21,0.25
4,3,10,1,21,0.35
4,3,10,2,21,0.4
4,3,10,3,21,0.46
4,3,20,1,21,0.71
4,3,20,2,21,0.78
4,3,20,3,21,0.79
4,3,30,1,21,0.83
4,3,30,2,21,0.92
4,3,30,3,21,0.93
4,7,5,1,21,0.25
4,7,5,2,21,0.3
4,7,5,3,21,0.3
4,7,10,1,21,0.35
4,7,10,2,21,0.38
4,7,10,3,21,0.4
4,7,20,1,21,0.41
4,7,20,2,21,0.45
4,7,20,3,21,0.47
4,7,30,1,21,0.42
4,7,30,2,21,0.47
4,7,30,3,21,0.49
4,14,5,1,21,0.25
4,14,5,2,21,0.25
4,14,5,3,21,0.25
4,14,10,1,21,0.25
4,14,10,2,21,0.25
4,14,10,3,21,0.25
4,14,20,1,21,0.25
4,14,20,2,21,0.25
4,14,20,3,21,0.25
4,14,30,1,21,0.25
4,14,30,2,21,0.25
4,14,30,3,21,0.25
4,21,5,1,21,0.25
4,21,5,2,21,0.25
4,21,5,3,21,0.25
4,21,10,1,21,0.25
4,21,10,2,21,0.25
4,21,10,3,21,0.25
4,21,20,1,21,0.25
4,21,20,2,21,0.25
4,21,20,3,21,0.25
4,21,30,1,21,0.25
4,21,30,2,21,0.25
4,21,30,3,21,0.25
6,1,5,1,21,0.1
6,1,5,2,21,0.07
6,1,5,3,21,0.1
6,1,10,1,21,0.09
6,1,10,2,21,0.12
6,1,10,3,21,0.14
6,1,20,1,21,0.22
6,1,20,2,21,0.33
6,1,20,3,21,0.44
6,1,30,1,21,0.44
6,1,30,2,21,0.64
6,1,30,3,21,0.76
6,3,5,1,21,0.1
6,3,5,2,21,0.1
6,3,5,3,21,0.1
6,3,10,1,21,0.17
6,3,10,2,21,0.2
6,3,10,3,21,0.22
6,3,20,1,21,0.46
6,3,20,2,21,0.52
6,3,20,3,21,0.57
6,3,30,1,21,0.62
6,3,30,2,21,0.7
6,3,30,3,21,0.78
6,7,5,1,21,0.13
6,7,5,2,21,0.15
6,7,5,3,21,0.17
6,7,10,1,21,0.23
6,7,10,2,21,0.25
6,7,10,3,21,0.26
6,7,20,1,21,0.29
6,7,20,2,21,0.33
6,7,20,3,21,0.36
6,7,30,1,21,0.3
6,7,30,2,21,0.34
6,7,30,3,21,0.39
6,14,5,1,21,0.17
6,14,5,2,21,0.17
6,14,5,3,21,0.17
6,14,10,1,21,0.17
6,14,10,2,21,0.17
6,14,10,3,21,0.17
6,14,20,1,21,0.17
6,14,20,2,21,0.17
6,14,20,3,21,0.17
6,14,30,1,21,0.17
6,14,30,2,21,0.17
6,14,30,3,21,0.17
6,21,5,1,21,0.17
6,21,5,2,21,0.17
6,21,5,3,21,0.17
6,21,10,1,21,0.17
6,21,10,2,21,0.17
6,21,10,3,21,0.17
6,21,20,1,21,0.17
6,21,20,2,21,0.17
6,21,20,3,21,0.17
6,21,30,1,21,0.17
6,21,30,2,21,0.17
6,21,30,3,21,0.17
